CUSTOMER_KEY,RATE
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
100000002,23
